canonical_vgp_root	selection_id	primary_theta_0_per_100bp_bin	source_path	source_sha256	interval	time_2N0	lambda
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	11	0.170626	27.546525
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	12	0.196262	13.192665
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	13	0.224326	13.192665
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	14	0.255049	5.080673
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	15	0.288682	5.080673
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	16	0.325501	1.992143
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	17	0.365808	1.992143
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	18	0.409933	1.129611
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	19	0.458239	1.129611
/moosefs/erikg/vgp	P07	0.032921	/moosefs/erikg/vgp/pilot/outputs/vgp10-auth-20260718-v2/P07/core/psmc/finalize/unscaled_trajectory.tsv	dd72b49b6d008a6d59975ed98d613a9cad5cf1266d78e3007d37a5acd98b3530	20	0.511119	0.836742
